CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0069,0.9330062456640086
C0001,C0026,0.9260384319836948
C0001,C0120,0.8897661475818833
C0002,C0159,0.974677975541677
C0002,C0178,0.9562970945593455
C0002,C0133,0.9466718926771474
C0003,C0195,0.8457331696404781
C0003,C0166,0.8136758030838466
C0003,C0031,0.7838135872182521
C0004,C0065,0.9370415061536183
C0004,C0075,0.9160343998796017
C0004,C0012,0.9096689716098231
C0005,C0007,0.9655496530607071
C0005,C0085,0.9603057509559746
C0005,C0197,0.9436592414418912
C0006,C0024,0.8950573952783208
C0006,C0135,0.8125041727964244
C0006,C0108,0.7950915403043144
C0007,C0005,0.9655496530607071
C0007,C0085,0.9411781303509328
C0007,C0055,0.9343096721112975
C0008,C0143,0.9107330917947132
C0008,C0093,0.909172584837623
C0008,C0149,0.8983784462936194
C0009,C0198,0.999977050774932
C0009,C0150,0.9923856805651173
C0009,C0033,0.9892951384193078
C0010,C0176,0.9573706719470326
C0010,C0056,0.9396796775267393
C0010,C0030,0.9162332058518149
C0011,C0161,0.9034621374231103
C0011,C0027,0.882573555119349
C0011,C0117,0.8812081820192812
C0012,C0065,0.9565479089478116
C0012,C0148,0.9307428858856913
C0012,C0113,0.9166883260530917
C0013,C0156,0.9458349805022852
C0013,C0099,0.9165228853620485
C0013,C0141,0.8662725211706752
C0014,C0060,0.9993463898879904
C0014,C0097,0.9927190007188027
C0014,C0128,0.9888598205451721
C0015,C0123,0.9985953275502274
C0015,C0128,0.9920496847106786
C0015,C0080,0.9918169187670423
C0016,C0117,0.9452833430348538
C0016,C0107,0.9031049073858222
C0016,C0074,0.8704458002048804
C0017,C0075,0.921791754427571
C0017,C0004,0.8796219238191646
C0017,C0018,0.8710539946389596
C0018,C0068,0.9572071489390332
C0018,C0122,0.9016330152717088
C0018,C0017,0.8710539946389596
C0019,C0070,0.9255416963533911
C0019,C0125,0.9081623032847876
C0019,C0191,0.902489869315587
C0020,C0130,0.9893769332787914
C0020,C0140,0.96198624059068
C0020,C0009,0.9167403240328793
